,GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECIS,SOURCE,NOTES,FATALITIES
82533,625,2228SUD,82534,2008-01-09,2008,1,Headquarters or base established,JEM: Justice and Equality Movement,SLM/A: Sudan Liberation Movement/Army,2,,,0,20,Sudan,Darfur,West Darfur,Al Geneina,El Geneina,13.45,22.45,2,"BBC Monitoring, Al-Ayyam; BBCMEP0020080109e419001gt","1. The coordinates of Geneina were used. 2. BBC describes newspaper Al-Ayyam as ""liberal."" 3. JEM established eight provinces and that it has further set up a judiciary system in these provinces to conduct tribal reconciliation and maintain security.",0.0
82542,625,2237SUD,82543,2008-01-17,2008,1,Non-violent activity by a conflict actor,JEM: Justice and Equality Movement,SLM/A: Sudan Liberation Movement/Army,2,,,0,20,Sudan,Darfur,North Darfur,Al Fasher,Al Fasher,13.633333,25.35,3,"BBC Monitoring, Sudan Tribune, Agence France Presse; BBCMEP0020080117e41h000p2, DJI0000020080117e41h000ww",1. JEM told Darfur envoys it is willing to meet after the release of its representatives in the cease-fire commission that Sudan detained while they were doing their duties in Al-Fashir. 2. JEM representatives were released to UNAMID director.,0.0
82545,625,2240SUD,82546,2008-01-18,2008,1,Non-violent activity by a conflict actor,SLM/A-Wahid: Sudan Liberation Movement/Army (Abdul Wahid Faction),,2,,,0,20,Sudan,Darfur,North Darfur,Mellit,North Darfur,16.066667,25.466667,3,AllAfrica; AFNWS00020080118e41i001me,"1. UN Special Envoy Jan Eliasson and AU counterpart Salim Ahmed Salim met with the Commanders of SLA-Wahid Faction, in North Darfur and that was the most specific location.",0.0
82549,625,2244SUD,82550,2008-01-31,2008,1,Non-violent activity by a conflict actor,LRA: Lord's Resistance Army,,2,,,0,20,Sudan,Equatoria,Central Equatoria,Nahr Yei,Morobo,3.6919,30.7763,1,"BBC Monitoring Middle East, 01 Feb 2008 BBCMEP0020",LRA moving from Morobo to Tore in S. Sudan.,0.0
82563,625,2258SUD,82564,2008-02-10,2008,2,Non-violent activity by a conflict actor,JEM-PF: Justice and Equality Movement (Peace Faction),,2,,,0,20,Sudan,Blue Nile,Gezira,North al Gazera,Adilah,14.87,33.226,1,"BBC Monitoring, Al-Sahafah; BBCMEP0020080210e42a000xe",1. Authorities arrested 50 members of Justice and Equality Movement-Peace Faction for the refusal of the movement to take part in Adilah development conference.,0.0
82642,625,2338SUD,82644,2008-05-01,2008,1,Non-violent activity by a conflict actor,Military Forces of Sudan (1989-),,1,Military Forces of Southern Sudan (2005-2011),,1,11,Sudan,Kordofan,South Kordufan,Abyei,Abyei,9.595247,28.434934,1,Reuters Alertnet,Both SAF and SPLA/M have agreed to withdraw from an oil-rich border flashpoint.,0.0
82652,625,2344SUD,82650,2008-05-04,2008,1,Non-violent activity by a conflict actor,SLM/A-Unity: Sudan Liberation Movement/Army (Unity Faction),,2,,,0,20,Sudan,Darfur,North Darfur,Mellit,North Darfur,16.066667,25.466667,3,"BBC Monitoring, Sudanese Media Center; BBCMEP0020080502e452000gr","1. The coordinates for Northern Darfur were used. 2. SLM-Unity allegedly seized two containers of weapons, ammunition and food from UNAMID.",0.0
82685,625,2380SUD,82686,2008-06-04,2008,1,Non-violent activity by a conflict actor,Military Forces of Sudan (1989-),,1,Military Forces of Southern Sudan (2005-2011),,1,11,Sudan,Kordofan,South Kordufan,Abyei,Abyei,9.595247,28.434934,1,Agence France Presse,The Governments of Sudan and Southern Sudan have requested international arbitration to demarcate the borders of Abyei in order to avoid civil war.,0.0
82686,625,2381SUD,82687,2008-06-04,2008,1,Non-violent activity by a conflict actor,Unidentified Armed Group (Sudan),,3,,,0,30,Sudan,Kordofan,South Kordufan,Abyei,Abyei,9.595247,28.434934,1,Reuters,"One more of four Indian oil technicians who were kidnapped in an area adjoining Sudan's flashpoint oil district of Abyei on May 13, 2008 was released.",0.0
82689,625,2382SUD,82688,2008-06-05,2008,1,Non-violent activity by a conflict actor,Military Forces of Sudan (1989-),,1,LRA: Lord's Resistance Army,,2,12,Sudan,Equatoria,Central Equatoria,Bahr al Jabal,Juba,4.85165,31.58247,1,Agence France Presse,"The GoS has stated, along with Uganda and the Democratic Republic of Congo, that it will fight the Lordé-(s Resistance Army (LRA) if peace talks in Juba fail with leader Joseph Kony.",0.0
