,movement,date,latitude,longitude
25,1,2008-01-16,12.95,22.86667
28,1,2008-01-19,13.6024667,26.6911506
30,1,2008-01-20,12.89998908,23.48106395
42,1,2008-01-23,12.28915,22.467033
116,1,2008-02-28,13.44126639,22.44540397
131,1,2008-03-04,12.89998908,23.48106395
140,1,2008-03-06,13.44126639,22.44540397
166,1,2008-03-12,13.9727167,22.3763167
175,1,2008-03-13,13.435008,22.280841
180,1,2008-03-14,12.89998908,23.48106395
201,1,2008-03-18,12.89998908,23.48106395
202,1,2008-03-18,12.89998908,23.48106395
211,1,2008-03-21,13.44126639,22.44540397
277,1,2008-04-07,13.65054333,25.23313333
285,1,2008-04-08,13.62639408,25.35593874
327,1,2008-04-19,12.89998908,23.48106395
417,1,2008-05-07,13.12284569,22.18600179
420,1,2008-05-08,11.106925,25.1515083
424,1,2008-05-12,11.5183465,26.1027239
428,1,2008-05-12,12.247247,24.96557
433,1,2008-05-13,14.19719833,25.36260333
435,1,2008-05-13,14.19719833,25.36260333
440,1,2008-05-14,12.6663,25.1430667
450,1,2008-05-16,12.68005,22.5619333
465,1,2008-05-20,11.99531624,25.63197368
496,1,2008-05-24,12.30661667,22.4616
506,1,2008-05-26,12.89998908,23.48106395
556,1,2008-06-04,11.9500096,23.28315797
557,1,2008-06-04,11.9500096,23.28315797
573,1,2008-06-07,12.89998908,23.48106395
623,1,2008-06-13,13.12284569,22.18600179
665,1,2008-06-16,11.6079278,26.6832556
673,1,2008-06-17,12.3369444,25.0744444
676,1,2008-06-18,13.44126639,22.44540397
681,1,2008-06-18,12.64675,25.27015
688,1,2008-06-18,13.44126639,22.44540397
714,1,2008-06-22,11.99531624,25.63197368
716,1,2008-06-22,13.2148889,25.0687894
728,1,2008-06-24,13.44126639,22.44540397
729,1,2008-06-24,12.12511667,22.5896
733,1,2008-06-25,12.89998908,23.48106395
739,1,2008-06-25,13.281,22.294
751,1,2008-06-26,11.276544,25.144175
777,1,2008-07-03,12.916,24.87119
801,1,2008-07-08,13.44126639,22.44540397
803,1,2008-07-08,11.97042675,24.44079446
807,1,2008-07-08,12.27378308,24.56314108
818,1,2008-07-09,15.08250418,26.15295568
835,1,2008-07-12,11.949578,25.151765
842,1,2008-07-13,15.5375364,22.9274682
849,1,2008-07-14,12.05557298,24.8905828
856,1,2008-07-15,12.05557298,24.8905828
857,1,2008-07-15,13.84251,24.89294
858,1,2008-07-15,13.62639408,25.35593874
860,1,2008-07-15,12.95,22.86667
867,1,2008-07-16,12.05557298,24.8905828
871,1,2008-07-17,13.64546039,24.08293995
875,1,2008-07-19,14.426417,22.883333
877,1,2008-07-19,13.6168587,22.6168647
906,1,2008-07-23,14.426417,22.883333
922,1,2008-07-25,13.51573406,24.86525491
932,1,2008-07-26,13.4278694,24.3459028
933,1,2008-07-26,12.89998908,23.48106395
936,1,2008-07-26,12.890633,23.09426
965,1,2008-07-30,12.8830333,22.39115
972,1,2008-07-30,12.0051722,25.0153694
977,1,2008-08-02,13.056533,25.522114
996,1,2008-08-05,13.76685414,22.16690616
1014,1,2008-08-06,13.44126639,22.44540397
1024,1,2008-08-09,14.20647108,24.64987718
1058,1,2008-08-14,15.08250418,26.15295568
1064,1,2008-08-15,13.41685045,23.1168752
1066,1,2008-08-16,13.62639408,25.35593874
1113,1,2008-08-28,12.0051722,25.0153694
1193,1,2008-09-10,13.51573406,24.86525491
