CASEQUANTITY,CASEDATE,DISTRICTNAME,VDCMCP,Location,Batch,Observations,Coder 
6,2002-04-01,Kalikot,,,1,the family of a lawmaker from Kalikot were abducted; no location given. Have inferred that the family comes from the same district.,KE
11,2002-07-01,Solukhumbu ,,Nele area of Solukhumbu district,1,,KE
8,2002-08-01,bordering Rolpa and Pyuthan districts,,travelling in a bus near Jaluki bordering Rolpa and Pyuthan districts,1,The kidnappers were not identified but they are believed to be Maoists.,KE
100,2002-09-19,Ramechhap,,Chandeswori school in Ramechhap district,1,"""about 100""",KE
5,2002-10-12,Surkhet,,their homes in Surkhet district,1,"maybe took place over 2 days, and may be an aggregation of multiple incidents; insufficient information: ""the National Democratic Party, said Sunday that five of its activists have been kidnapped by the Maoists since the premier's appointment [two days ago]. The five, including a woman who was a candidate in the last election in 1999, were snatched from their homes in the Surkhet district""",KE
5,2002-10-17,Dolakha,,their homes in Dolakha district,1,could have been multiple incidents in the same district on the same date; insufficient information,KE
11,2002-10-28,,,Wedge Peak,1,"an 11-strong Slovenian team of climbers. Not clear if it happened on 28/10 or became news on 28/10. One reports says they were kidnapped. Another, more detailed, says the ""fooled"" the potential kidnappers and weren't actually abducted",KE
12,2002-11-01,Dang,,,1,,KE
45,2002-12-21,Surkhet,,Lekgaon in the Surkhet district,1,,KE
150,2003-01-03,Bajura,,Bhulina and Kalika of Bajura district,1,,KE
60,2003-01-07,"Doti, Kailali",,,1,60 students of middle and higher secondary schools boys and girls from Doti and Kailali in the last couple of days,KE
6,2003-01-11,Bhojpur,Ranibas,Reported as Ghorletar in another article (maybe a village in the VDC?),1,,KE
80,2003-01-14,Salyan,Bhalchaur,Jan Jyoti High School in Bhalchaur Village Development Committee (VDC),1,"""a few days ago""--reporting date used",KE
22,2003-04-20,Taplejung,Hampang,Hampang Village Development Committee in Taplejung,1,,KE
9,2003-05-17,Dhanusha,,Balhasahara village in Dhanusha District,1,,KE
7,2003-08-03,Udaypur,,"Gaighat, Udaypur",1,,KE
7,2003-09-17,Panchthar,,"Tangkhuwa post office in Ravi, Panchthar",1,,KE
8,2003-09-30,Pyuthan,,,1,,KE
7,2003-10-19,Baglung,,Lekhali village,1,"Many report 5 abducted; post-release, the number appears to be 7. Also, lol: ""A BBC producer who witnessed the abduction said: ""It was all very civilised. The Maoists politely asked if the British officers would mind coming over for a chat with their leaders, two hours walk away, and off they went.""",KE
39,2003-10-17,Achham,,Kamal Bazaar in Achham District,1,Initial reports of 29 (nusinessment); an iupdated article two weeks later updated to 39,KE
29,2003-11-05,Mugu,,Riba High School in Mugu district,1,,KE
107,2003-12-04,Achham,,107 students from Janata secondary school in Bindeshori VDC [village development committee area] ,1,,KE
70,2003-12-04,Achham,,70 students from Nandeshori Secondary School in Shodasha VDC,1,aggregated with the above incident in some reports and rounded up to 200,KE
150,2004-01-26,Achham,,Bannatoli village in Accham district,1,,KE
140,2004-01-28,Achham,,"Bidya Mandair Higher Secondary School, Binayak village, 16 miles from district headquarters Mangalsen",1,,KE
104,2004-01-29,Bajura,Kailashmandu,"Rameswori village, Kailashmandu, south of district headquarters Martadi ",1,over the course of a week,KE
17,2004-02-02,Achham,,Dhakari source centre,1,over the course of a week,KE
10,2004-02-02,Achham,,Dhaku source centre,1,over the course of a week,KE
13,2004-02-02,Achham,,Netakot source centre,1,over the course of a week,KE
17,2004-02-02,Achham,,Turmakhat source centre,1,over the course of a week,KE
9,2004-02-02,Achham,,Bhairavsthan source centre,1,over the course of a week,KE
9,2004-02-02,Achham,,Kalagaon source centre,1,over the course of a week,KE
279,2004-02-02,Achham,,,1,SUMMARY FIGURE of 385. over the course of a week,KE
18,2004-01-31,Achham,,Janghad village,1,,KE
700,2004-02-10,,,the west of the country,1,8-10 Feb,KE
400,2004-02-14,Achham,,Bhaishwale in Achham,1,13-14 Feb,KE
300,2004-02-18,Rolpa,Holeri?,Saiwang secondary school at Holeri village,1,"another source says ""nearly 400""",KE
13,2004-01-24,Achham,Kuika,Bukane village of the Kuika VDC,1,"""third week of January""",KE
46,2004-02-22,Kailali,Sugarkhal,Sugarkhal village in Kailali district,1,,KE
200,2004-02-23,Achham,"Thate, Sodsha, Bindyabasini, Kuskot and Rishidaha VDCs","Thate, Sodsha, Bindyabasini, Kuskot and Rishidaha village development committees in Achham district",1,,KE
65,2004-02-25,Rukum,,en route from Musikot to Bashikot,1,,KE
19,2004-02-26,Kailali,,Pandaun,1,,KE
9,2004-02-26,Kailali,,Mohanyal,1,,KE
46,2004-02-26,Kailali,,Sugurkhal,1,,KE
9,2004-03-10,Bhojpur,,Bhojpur,1,"SECURITY FORCES which were kidnapped during an earlier engagement; release date coded--not sure if warring parties should count? 7 released, 2 killed.",KE
10,2004-03-14,Myagdi,Chimkhola ,Chimkhola VDC in Myagdi,1,,KE
18,2004-03-11,Baglung,,Gyalichaur village in Baglung,1,"""one and a half dozen""",KE
16,2004-03-10,Myagdi,,Chimpani village  in Myagdhi,1,,KE
37,2004-03-12,Dandeldhura,,Jogbuda in Dandeldhura district,1,reports vary 3-4 dozen,KE
14,2004-03-14,Myagdi,,28 km north of district headquarters,1,,KE
23,2004-03-15,Baglung,,Bangadovan,1,,KE
300,2004-03-18,Tehrathum,,Gaukhuri Higher Secondary School at Morahang in Tehrathum,1,,KE
30,2004-03-21,Myagdi,,Beni Bazar of Myagdi,1,POLICE OFFICERS abducted in course of fighting,KE
28,2004-03-20,Surkhet,,Babiya Chaur,1,,KE
40,2004-03-27,Baglung,"Amalachaur, Jaidi, Chisti and Binamare","Amalachaur, Jaidi, Chisti and Binamare VDCs",1,,KE
1000,2004-03-31,Bajura,,"Kailashmadau, Kuldevmadau and Barabish",1,,KE
45,2004-04-02,Dandeldhura,,Katal and Parigaon,1,"Original report was for 60; 15 subtracted for below. A later report puts the total at 150, so the high would be 135.",KE
15,2004-04-02,Dandeldhura,Shirsha,Shirsha VDC,1,,KE
26,2004-04-04,Dhanusha,,"village of Yadukuna, near the district's center Janakpur",1,,KE
15000,2004-04-06,Kanchanpur,,"Tribhuvan Basti, Kalipa and Parasa villages in Kanchanpur district",1,estimates as high as 2000,KE
31,2004-04-06,Panchthar,,Yashok Bazar south of district headquarters Panchthar,1,,KE
42,2004-04-07,Ilam,,Pashupatinagar in Ilam district,1,reports range from 41 to 45. 42 most credible (1 released),KE
300,2004-04-11,Dandeldhura,Bagarkot,Bagarkot,1,,KE
60,2004-04-13,Taplejung,,"Sinam village, situated 28 km southeast of Taplejung district headquarters Fungling. Another report says: Sinam, Limbudin, Ambebudin and Thimbudin villages",1,,KE
13,2004-04-18,Ilam,,Kanyam-5,1,,KE
7,2004-04-18,Ilam,,Kanyam-6,1,"This report says ""more than two dozen abducted"" although clearly 13+7=20. Another report says 30, but with less specific temporal and geographic info.",KE
162,2004-04-20,Panchthar,Subanga,Bharpa and Shubang villages adjoining Panchthar district headquarters Phidim,1,estimates as high as 200,KE
1000,2004-04-22,Panchthar,,"Ranitar, Factape, Siba, Amarpur, Bharapa, Subhang, Pauwasaragapa and Thurpu areas",1,appears to be distinct from above incident 20/04,KE
100,2004-04-25,Baitadi,,"Malauli, Maharudra, Bishalpur and Salena villages",1,,KE
250,2004-04-27,Darchula,,6 unspecified villages,1,three day period; reporting date used,KE
25,2004-05-02,Baitadi,,Sanathan Dharma Higher Secondary School at Shrikot village in Baitadi District,1,,KE
1500,2004-05-04,Rukum,,,1,,KE
350,2004-05-07,Dandeldhura,,"Dadeldhura, Nabadurga, Manilek, Ashigram, Belpur, Ganeshpur and Kitele villages",1,"""since 3 May""--used reporting date",KE
8,2004-05-05,Ilam,,Soyang village,1,,KE
35,2004-05-07,Sindhuli,Kusheshwar Dumja,Kusheshwar Dumja VDC,1,,KE
221,2004-05-09,Lamjung,Shri Bhanjyang,"Laxmi High School, situated at Shri Bhanjyang Village Development Committee, east Lamjung",1,,KE
83,2004-05-10,Dailekh,,possibly Naimule village (villager from there quoted),1,"""abductions started one week ago and are continuing""",KE
250,2004-05-01,Dang,,from about one dozen schools,1,article about their release on 10 May says they were abducted and underwent a 10 day training,KE
200,2004-05-13,Salyan,,"Janjyoti School, Suryodaya Secondary School and Buddha Jankalyan School",1,"""more than 200"" abducted ""last few days"" (reporting used)",KE
100,2004-05-17,Rautahat,"Katahariya Bartiprastoka, Hauthiyahi, Bhasedhawa and Kanakpur ","Katahariya Bartiprastoka, Hauthiyahi, Bhasedhawa and Kanakpur Village Development committee",1,,KE
1000,2004-05-20,Kailali,"Pahalmanpur, Musariya, Udasipur and Gadariya","Pahalmanpur, Musariya, Udasipur and Gadariya",1,,KE
12,2004-05-21,Dang,Dela and Rajpur,various wards of Dela and Rajpur village development committees that are situated in the Deukhuri Valley [of Dang district],1,,KE
190,2004-05-21,Jumla,,"Karnali Technical School in Jumla [mid west Nepal], about 45 minutes walk north of the Jumla District headquarters Khalanga",1,,KE
350,2004-05-24,Jumla,,"Garjyangkot, Tatopani, Chandannath and Talium villages in Jumla",1,,KE
76,2004-05-26,Achham,,eastern Achham,1,,KE
100,2004-05-27,Bardiya & Achham,,,2,,KE
1000,2004-05-29,Jajarkot,,270 schools in the district of Jajarkot. from all 30 VDCs [village development committees] of Jajarkot.,2,over the past 3 days,KE
400,2004-05-27,Kailali,Fulbari ,,2,,KE
100,2004-05-29,Dandeldhura,,about 12 schools in the district,2,no date given; used reporting date,KE
12,2004-05-29,Dailekh,Narayan,Narayan Municipality,2,"""over a dozen"". No date given; reporting date used",KE
60,2004-05-30,Udaypur ,Panchabati,Panchabati VDC [village development committee area] in Udaypur District [eastern Nepal],2,,KE
20,2004-05-31,Sindhupalchowk,,3 different (unspecified) schools ,2,,KE
24,2004-05-25,Achham,,eastern part of Achham district,2,"""more than 2 dozen"" kidnapped; this is referenced as an event from one week ago",KE
106,2004-06-01,Lamjung,Bansar,Phaleni High School at Bansar VDC [Village Development Committee] in eastern Lamjung,2,,KE
51,2004-06-03,Myagdi,,"Hale Guanda [village], Jayanti high School",2,used reporting date,KE
1000,2004-06-05,Kailali,Urma,"Urma and Sizu villages, Urma Village Development Committee in Kailali District",2,,KE
500,2004-06-03,Jajarkot,,75 schools,2,Schools shut down on 3 June; have inferred that that is when the abductions also occurred,KE
200,2004-06-07,Sindhuli,,at least 200 teachers from the district eastern Kamalakhonch region,2,,KE
