,monthid,ngo_abductions,ngo_events,media_abductions,media_events,zero,abductions_delta,events_delta,log_abductions_delta
0,1,22,2,0,0,0,22,2,1.3617278360175928
1,2,0,0,0,0,0,0,0,0.0
2,3,0,0,0,0,0,0,0,0.0
3,4,0,0,6,1,0,-6,-1,-0.8450980400142568
4,5,0,0,0,0,0,0,0,0.0
5,6,35,1,0,0,0,35,1,1.5563025007672873
6,7,64,3,11,1,0,53,2,0.7337321105952306
7,8,0,0,8,1,0,-8,-1,-0.9542425094393249
8,9,270,4,100,1,0,170,3,0.4286479170917632
9,10,0,0,21,3,0,-21,-3,-1.3424226808222062
10,11,26,2,12,1,0,14,1,0.31742041185215064
11,12,0,0,45,1,0,-45,-1,-1.662757831681574
12,13,45,2,296,4,0,-251,-2,-0.8099986176356382
13,14,50,1,0,0,0,50,1,1.7075701760979363
14,15,0,0,0,0,0,0,0,0.0
15,16,40,2,22,1,0,18,1,0.2510560207021426
16,17,0,0,9,1,0,-9,-1,-1.0
17,18,0,0,0,0,0,0,0,0.0
18,19,0,0,0,0,0,0,0,0.0
19,20,0,0,7,1,0,-7,-1,-0.9030899869919435
20,21,0,0,15,2,0,-15,-2,-1.2041199826559248
21,22,0,0,46,2,0,-46,-2,-1.6720978579357175
22,23,36,1,29,1,0,7,0,0.0910804693473326
23,24,0,0,177,2,0,-177,-2,-2.250420002308894
24,25,292,7,425,5,0,-133,2,-0.16254197874860932
25,26,396,2,2139,16,0,-1743,-14,-0.7316232665860758
26,27,977,31,1525,12,0,-548,19,-0.19321567883126
27,28,1635,13,3551,14,0,-1916,-1,-0.33668965777125903
28,29,4378,49,6116,23,0,-1738,26,-0.14516353530567727
29,30,3914,43,4007,14,0,-93,29,-0.010195946465227035
30,31,2059,19,990,9,0,1069,10,0.31779356588387797
31,32,1346,20,1504,11,0,-158,9,-0.04816890420687692
32,33,4468,31,5327,18,0,-859,13,-0.0763538615018855
33,34,483,4,343,5,0,140,-1,0.14828691907288238
34,35,1276,19,1274,14,0,2,5,0.0006807124934415931
35,36,1767,12,2891,6,0,-1124,6,-0.21371602794543865
36,37,3722,37,6381,23,0,-2659,14,-0.23406376363909942
37,38,9010,15,350,1,0,8660,14,1.4094658732238932
38,39,531,7,10,1,0,521,6,1.6845189471368232
39,40,531,7,453,3,0,78,4,0.06885577943794452
40,41,1482,23,970,9,0,512,14,0.18392192112037753
41,42,2717,10,2002,9,0,715,1,0.13256850310289936
42,43,1529,6,279,6,0,1250,0,0.7375333994753794
43,44,2291,9,1427,17,0,864,-8,0.20548640585519662
44,45,5095,51,5606,28,0,-511,23,-0.041501136771200375
45,46,1440,5,1337,8,0,103,-3,0.03220786738218484
46,47,1342,11,1143,8,0,199,3,0.06964998821171031
47,48,541,5,1525,7,0,-984,-2,-0.44955524708047445
48,49,11747,10,231,5,0,11516,5,1.704475952959863
49,50,2301,8,900,17,0,1401,-9,0.40738052831471006
50,51,712,8,1932,12,0,-1220,-4,-0.4331423241766874
51,52,613,7,305,6,0,308,1,0.30244694465958766
52,53,381,5,84,8,0,297,-3,0.6526444371974163
53,54,1313,4,168,4,0,1145,0,0.8907086606100885
54,55,0,0,37,2,0,-37,-2,-1.5797835966168101
55,56,480,3,12,1,0,468,2,1.5682017240669952
56,57,1576,7,42,5,0,1534,2,1.5643632377493166
57,58,0,0,68,6,0,-68,-6,-1.8388490907372552
58,59,890,5,728,10,0,162,-5,0.08715017571890016
