,weekid,ngo_abductions,ngo_events,media_abductions,media_events,zero,abductions_delta,events_delta,log_abductions_delta
0,1,10,1,0,0,0,10,1,1.0413926851582251
1,2,0,0,0,0,0,0,0,0.0
2,3,0,0,0,0,0,0,0,0.0
3,4,12,1,0,0,0,12,1,1.1139433523068367
4,5,0,0,0,0,0,0,0,0.0
5,6,0,0,0,0,0,0,0,0.0
6,7,0,0,0,0,0,0,0,0.0
7,8,0,0,0,0,0,0,0,0.0
8,9,0,0,0,0,0,0,0,0.0
9,10,0,0,0,0,0,0,0,0.0
10,11,0,0,0,0,0,0,0,0.0
11,12,0,0,0,0,0,0,0,0.0
12,13,0,0,0,0,0,0,0,0.0
13,14,0,0,6,1,0,-6,-1,-0.8450980400142568
14,15,0,0,0,0,0,0,0,0.0
15,16,0,0,0,0,0,0,0,0.0
16,17,0,0,0,0,0,0,0,0.0
17,18,0,0,0,0,0,0,0,0.0
18,19,0,0,0,0,0,0,0,0.0
19,20,0,0,0,0,0,0,0,0.0
20,21,0,0,0,0,0,0,0,0.0
21,22,0,0,0,0,0,0,0,0.0
22,23,0,0,0,0,0,0,0,0.0
23,24,35,1,0,0,0,35,1,1.5563025007672873
24,25,0,0,0,0,0,0,0,0.0
25,26,0,0,0,0,0,0,0,0.0
26,27,0,0,11,1,0,-11,-1,-1.0791812460476249
27,28,20,1,0,0,0,20,1,1.3222192947339193
28,29,44,2,0,0,0,44,2,1.6532125137753437
29,30,0,0,0,0,0,0,0,0.0
30,31,0,0,8,1,0,-8,-1,-0.9542425094393249
31,32,0,0,0,0,0,0,0,0.0
32,33,0,0,0,0,0,0,0,0.0
33,34,0,0,0,0,0,0,0,0.0
34,35,0,0,0,0,0,0,0,0.0
35,36,0,0,0,0,0,0,0,0.0
36,37,57,1,0,0,0,57,1,1.7634279935629373
37,38,213,3,100,1,0,113,2,0.32609239956654834
38,39,0,0,0,0,0,0,0,0.0
39,40,0,0,0,0,0,0,0,0.0
40,41,0,0,5,1,0,-5,-1,-0.7781512503836436
41,42,0,0,5,1,0,-5,-1,-0.7781512503836436
42,43,0,0,0,0,0,0,0,0.0
43,44,0,0,23,2,0,-23,-2,-1.380211241711606
44,45,0,0,0,0,0,0,0,0.0
45,46,26,2,0,0,0,26,2,1.4313637641589874
46,47,0,0,0,0,0,0,0,0.0
47,48,0,0,0,0,0,0,0,0.0
48,49,0,0,0,0,0,0,0,0.0
49,50,0,0,0,0,0,0,0,0.0
50,51,0,0,45,1,0,-45,-1,-1.662757831681574
51,52,0,0,0,0,0,0,0,0.0
52,53,0,0,0,0,0,0,0,0.0
53,54,0,0,150,1,0,-150,-1,-2.1789769472931693
54,55,0,0,66,2,0,-66,-2,-1.8260748027008264
55,56,0,0,80,1,0,-80,-1,-1.9084850188786497
56,57,45,2,0,0,0,45,2,1.662757831681574
