,district,media_abductions,media_events
0,Achham,5106,23
1,Baglung,1017,11
2,Baitadi,1544,7
3,Bajhang,94,3
4,Bajura,3651,9
5,"Bajura, Accham",75,1
6,Banjura,200,2
7,Banke,512,2
8,Bara,7,1
9,Bardiya & Achham,100,1
10,Bhojpur,200,9
11,Butawal,11,1
12,Chitwan,11,1
13,Dadeldhura,9,1
14,Dailekh,182,7
15,Dandeldhura,3797,10
16,"Dandeldhura, Kalikot",400,1
17,Dang,558,7
18,Darchula,675,6
19,Dhading,1235,12
20,Dhankuta,98,4
21,Dhanusha,40,3
22,Dolakha,41,3
23,Dolpa,60,1
24,Doti,3500,15
25,Doti district,62,1
26,"Doti, Kailali",60,1
27,Gorkha,190,2
28,Gulmi,640,4
29,Ilam,108,8
30,Jajarkot,2800,4
31,Jhapa,1049,5
32,Jumla,554,3
33,Kailali,2802,16
34,Kalikot,582,6
35,Kanchanpur,1906,4
36,Kaski,165,5
37,Kathmandu,76,4
38,Kavre,17,1
39,Kavrepalachowk,6,1
40,Khotang,32,3
41,Lamjung,1177,7
42,Mahottari,6,1
43,Makwanpur,118,2
44,"Makwanpur, Lalitpur",207,1
45,Morang,196,3
46,Mugu,39,3
47,Myagdi,383,9
48,Nawalparasi,131,4
49,Nuwakot,30,2
50,Okaldhunga,300,1
51,Okhaldunga,109,1
52,Palpa,116,4
53,Palung,24,1
54,Panchthar,2054,15
55,Parbat,40,1
56,Pyuthan,38,3
57,Ramchhap,284,6
58,Ramechhap,854,7
59,"Ramechhap, Sindhuli, Sindhupalchowk and Dolakha",300,1
60,Rautahat,436,3
61,Rolpa,618,5
62,Rukum,4541,8
63,Rupandehi,22,1
64,Salyan,814,6
65,Sankhuwas bha,7,1
66,Sankhuwasabha,1595,8
67,Saptari,5,1
68,Sarlahi,20,1
69,Sindhuli,410,4
70,Sindhupalchowk,38,2
71,Solukhumbu,4,1
72,Solukhumbu ,11,1
73,Sunsari,13,2
74,Surkhet,84,4
75,Syangja,1465,3
76,Tanahun,35,1
77,"Tanahun, Palpa, and Baglung ",450,1
78,Taplejung,1569,11
79,Tehrathum,300,1
80,Udayapur,25,2
81,Udaypur,179,4
82,Udaypur ,397,3
83,Yanjakot,36,1
84,bordering Rolpa and Pyuthan districts,8,1
